"Location ID","Location","Date","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
10100,"Northeast Climate Region",191411,34.8,24,-2.4,37.2
10100,"Northeast Climate Region",191412,22.3,21,-3.4,25.7
10100,"Northeast Climate Region",191501,23.1,84,1.8,21.3
10100,"Northeast Climate Region",191502,26.7,105,4.2,22.5
10100,"Northeast Climate Region",191503,28.3,19,-4.0,32.3
10100,"Northeast Climate Region",191504,48.1,120,4.3,43.8
10100,"Northeast Climate Region",191505,52.0,11,-3.2,55.2
10100,"Northeast Climate Region",191506,62.1,19,-1.9,64
10100,"Northeast Climate Region",191507,67.2,17,-1.7,68.9
10100,"Northeast Climate Region",191508,64.9,19,-1.8,66.7
10100,"Northeast Climate Region",191509,62.1,107,2.5,59.6
10100,"Northeast Climate Region",191510,49.8,77,1.1,48.7
10100,"Northeast Climate Region",191511,37.5,65,0.3,37.2
10100,"Northeast Climate Region",191512,25.2,51,-0.5,25.7
10100,"Northeast Climate Region",191601,26.0,106,4.7,21.3
10100,"Northeast Climate Region",191602,18.9,24,-3.6,22.5
10100,"Northeast Climate Region",191603,24.2,1,-8.1,32.3
10100,"Northeast Climate Region",191604,43.2,46,-0.6,43.8
10100,"Northeast Climate Region",191605,55.7,62,0.5,55.2
10100,"Northeast Climate Region",191606,60.3,5,-3.7,64
10100,"Northeast Climate Region",191607,70.8,104,1.9,68.9
10100,"Northeast Climate Region",191608,68.3,91,1.6,66.7
10100,"Northeast Climate Region",191609,59.3,49,-0.3,59.6
10100,"Northeast Climate Region",191610,48.7,60,-0.0,48.7
10100,"Northeast Climate Region",191611,35.5,32,-1.7,37.2
10100,"Northeast Climate Region",191612,24.7,45,-1.0,25.7
10100,"Northeast Climate Region",191701,20.8,52,-0.5,21.3
10100,"Northeast Climate Region",191702,17.8,15,-4.7,22.5
10100,"Northeast Climate Region",191703,31.2,49,-1.1,32.3
10100,"Northeast Climate Region",191704,42.3,32,-1.5,43.8
10100,"Northeast Climate Region",191705,48.1,1,-7.1,55.2
10100,"Northeast Climate Region",191706,62.8,23,-1.2,64
10100,"Northeast Climate Region",191707,69.3,77,0.4,68.9
10100,"Northeast Climate Region",191708,68.0,87,1.3,66.7
10100,"Northeast Climate Region",191709,56.0,3,-3.6,59.6
10100,"Northeast Climate Region",191710,44.3,4,-4.4,48.7
10100,"Northeast Climate Region",191711,32.0,3,-5.2,37.2
10100,"Northeast Climate Region",191712,15.3,2,-10.4,25.7
10100,"Northeast Climate Region",191801,11.1,1,-10.2,21.3
10100,"Northeast Climate Region",191802,19.8,28,-2.7,22.5
10100,"Northeast Climate Region",191803,32.9,74,0.6,32.3
10100,"Northeast Climate Region",191804,43.7,53,-0.1,43.8
10100,"Northeast Climate Region",191805,60.0,119,4.8,55.2
10100,"Northeast Climate Region",191806,60.8,7,-3.2,64
10100,"Northeast Climate Region",191807,67.7,26,-1.2,68.9
10100,"Northeast Climate Region",191808,68.4,94,1.7,66.7
10100,"Northeast Climate Region",191809,55.4,1,-4.2,59.6
10100,"Northeast Climate Region",191810,50.4,93,1.7,48.7
10100,"Northeast Climate Region",191811,37.5,65,0.3,37.2
10100,"Northeast Climate Region",191812,28.8,92,3.1,25.7
10100,"Northeast Climate Region",191901,25.2,102,3.9,21.3
10100,"Northeast Climate Region",191902,25.4,86,2.9,22.5
10100,"Northeast Climate Region",191903,34.8,96,2.5,32.3
10100,"Northeast Climate Region",191904,42.8,38,-1.0,43.8
10100,"Northeast Climate Region",191905,55.3,54,0.1,55.2
10100,"Northeast Climate Region",191906,67.2,123,3.2,64
10100,"Northeast Climate Region",191907,69.4,78,0.5,68.9
10100,"Northeast Climate Region",191908,64.5,13,-2.2,66.7
10100,"Northeast Climate Region",191909,59.6,53,0.0,59.6
10100,"Northeast Climate Region",191910,50.8,100,2.1,48.7
10100,"Northeast Climate Region",191911,36.2,42,-1.0,37.2
10100,"Northeast Climate Region",191912,19.8,8,-5.9,25.7
10100,"Northeast Climate Region",192001,12.9,4,-8.4,21.3
10100,"Northeast Climate Region",192002,19.6,26,-2.9,22.5
10100,"Northeast Climate Region",192003,32.7,71,0.4,32.3
10100,"Northeast Climate Region",192004,41.0,14,-2.8,43.8
10100,"Northeast Climate Region",192005,53.0,22,-2.2,55.2
10100,"Northeast Climate Region",192006,63.3,37,-0.7,64
10100,"Northeast Climate Region",192007,66.5,10,-2.4,68.9
10100,"Northeast Climate Region",192008,68.0,87,1.3,66.7
10100,"Northeast Climate Region",192009,60.6,83,1.0,59.6
10100,"Northeast Climate Region",192010,53.5,121,4.8,48.7
10100,"Northeast Climate Region",192011,34.5,17,-2.7,37.2
10100,"Northeast Climate Region",192012,27.7,77,2.0,25.7
10100,"Northeast Climate Region",192101,23.8,93,2.5,21.3
10100,"Northeast Climate Region",192102,25.1,83,2.6,22.5
10100,"Northeast Climate Region",192103,40.6,123,8.3,32.3
10100,"Northeast Climate Region",192104,49.8,125,6.0,43.8
10100,"Northeast Climate Region",192105,56.1,73,0.9,55.2
10100,"Northeast Climate Region",192106,65.0,82,1.0,64
10100,"Northeast Climate Region",192107,73.0,125,4.1,68.9
10100,"Northeast Climate Region",192108,64.7,16,-2.0,66.7
10100,"Northeast Climate Region",192109,63.4,121,3.8,59.6
10100,"Northeast Climate Region",192110,48.5,53,-0.2,48.7
10100,"Northeast Climate Region",192111,35.3,28,-1.9,37.2
10100,"Northeast Climate Region",192112,24.1,37,-1.6,25.7
10100,"Northeast Climate Region",192201,17.7,24,-3.6,21.3
10100,"Northeast Climate Region",192202,24.2,76,1.7,22.5
10100,"Northeast Climate Region",192203,33.8,86,1.5,32.3
10100,"Northeast Climate Region",192204,44.5,71,0.7,43.8
10100,"Northeast Climate Region",192205,57.7,104,2.5,55.2
10100,"Northeast Climate Region",192206,65.4,97,1.4,64
10100,"Northeast Climate Region",192207,68.2,38,-0.7,68.9
10100,"Northeast Climate Region",192208,65.8,30,-0.9,66.7
10100,"Northeast Climate Region",192209,61.0,90,1.4,59.6
10100,"Northeast Climate Region",192210,49.2,69,0.5,48.7
10100,"Northeast Climate Region",192211,37.3,58,0.1,37.2
10100,"Northeast Climate Region",192212,24.1,37,-1.6,25.7
10100,"Northeast Climate Region",192301,19.3,35,-2.0,21.3
10100,"Northeast Climate Region",192302,16.2,12,-6.3,22.5
10100,"Northeast Climate Region",192303,27.9,16,-4.4,32.3
